id,tag,source,human_translation,context,speaker,listener,notes
stardewvalley_0001,1_6_Strings:0_Mastery,Farming Mastery,농사 마스터리,content/0_Mastery,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0002,1_6_Strings:1_Mastery,Fishing Mastery,낚시 마스터리,content/1_Mastery,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0003,1_6_Strings:2_Mastery,Foraging Mastery,채집 마스터리,content/2_Mastery,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0004,1_6_Strings:3_Mastery,Mining Mastery,채광 마스터리,content/3_Mastery,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0005,1_6_Strings:4_Mastery,Combat Mastery,전투 마스터리,content/4_Mastery,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0006,1_6_Strings:Accept,Accept,승낙,content/Accept,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0007,1_6_Strings:AdoptPets,Adopt Pets,반려동물 입양,content/AdoptPets,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0008,1_6_Strings:AdoptedPet,Your new pet '{0}' has been sent to your home.,새 반려동물 '{0}'을(를) 집으로 보냈습니다.,content/AdoptedPet,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0009,1_6_Strings:AdoptedPet_Marnie,Great! I'll send little {0} to your home right away.$h,좋아! 우리 작은 {0}을(를) 바로 네 집으로 보낼게.$h,content/AdoptedPet_Marnie,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0010,1_6_Strings:Anvil_bars,Requires 3 Iridium Bars.,이리듐 주괴가 3개 필요합니다.,content/Anvil_bars,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0011,1_6_Strings:Anvil_fail,You can only re-forge trinkets on this.,장신구만 재련할 수 있습니다.,content/Anvil_fail,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0012,1_6_Strings:Anvil_wrongtrinket,This trinket cannot be re-forged.,재련할 수 없는 장신구입니다.,content/Anvil_wrongtrinket,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0013,1_6_Strings:AttackEnchantment,+{0} Attack,공격력 +{0},content/AttackEnchantment,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0014,1_6_Strings:BasiliskPaw_Description,You are immune to debuffs.,상태 이상 효과에 면역이 됩니다.,content/BasiliskPaw_Description,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0015,1_6_Strings:BasiliskPaw_Name,Basilisk Paw,바실리스크 발,content/BasiliskPaw_Name,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
