sample_id,source_text,translation
S001,Unstoppable Force,막을 수 없는 힘
S002,Nemean Gauntlets,네메안 건틀릿
S003,Icarus Drifter Legs,이카루스 드리프터 다리
S004,Light and Dark Saga Exotics,빛과 어둠 사가 엑조틱스
S005,Dreaming Spectrum,드리밍 스펙트럼
S006,Ana: Black Box,아나: 블랙 박스
S007,Transmatter Components,트랜스매터 컴포넌트
S008,The Empty Tank: Legend,빈 탱크: 전설
S009,Bounty Hunter: Tangled Shore,현상금 사냥꾼: 얽힌 해안
S010,Swordmaster's Gauntlets,소드마스터의 건틀릿
S011,Court of Blades (Wrathborn): Expert,칼날의 궁정 (Wrathborn): Expert
S012,(Heroic) Dark Alliance,(영웅적) 다크 얼라이언스
S013,Traveler's Judgment 5,여행자의 심판 5
S014,Blackletter Greaves,블랙레터 그리브스
S015,Event Ticket,이벤트 티켓
S016,Venom Unrivaled Strides,독보적인 독의 발걸음
S017,Markov Chain,마르코프 체인
S018,Imponent III,위압적인 III
S019,Splicer Vandal's Armory,스플라이서 반달의 무기고
S020,Phantasmic Fighter,환영의 전투기
S021,The Ritual: Master,의식: 마스터
S022,Vex Shock,벡스 쇼크
S023,Weapons Intel,무기 정보
S024,Cottontail Shell,코튼테일 셸
S025,Adds a nest of spiders to your transmat effects.,transmat 효과에 거미 둥지를 추가합니다.
S026,Kill each set of Glyphkeepers in Exhibition within 5 seconds of each other.,Exhibition에서 각 Glyphkeepers 세트를 서로 5초 이내에 처치해.
S027,Your equipped Scout Rifles and Pulse Rifles fire shield-piercing rounds and stun [Shield-Piercing] Barrier Champions.,장착한 Scout Rifle과 Pulse Rifle이 방어막 관통 탄환을 발사하고 [Shield-Piercing] Barrier Champion을 기절시킨다.
S028,"By aligning with the Festival Flame, you do more damage with Void power.",Festival Flame과 정렬하면 Void power로 더 많은 피해를 준다.
S029,Defeat combatants with precision final blows in Nightmare Hunts.,Nightmare Hunts에서 정밀한 final blows로 combatants를 처치해라.
S030,Adds a phosphene appearance to your transmat effects.,transmat 효과에 phosphene 외형을 추가합니다.
S031,Final blows with this weapon fill the magazine of the equipped Energy weapon from reserves.,"이 무기로 final blows를 하면, 보관 중인 장착한 Energy 무기의 탄창이 채워진다."
S032,Greatly increases charge rate and guard resistance.,차지 속도와 가드 저항을 크게 증가시킨다.
S033,Faster ready and stow speed for Trace Rifles.,Trace Rifle의 준비 속도와 보관 속도가 더 빨라집니다.
S034,Dimensional Tithes,차원 십일조
S035,Body shots landed with this weapon increase precision damage and aim assist for a short time. Body shots landed while the perk is active refresh the time.,이 무기로 적중한 바디 샷은 짧은 시간 동안 precision damage와 aim assist를 증가시킨다. perk가 활성화된 동안 적중한 바디 샷은 지속 시간을 갱신한다.
S036,Earn bonus Enhancement Prisms when completing ritual activities.,의식 활동을 완료하면 보너스 Enhancement Prisms를 획득한다.
S037,Final blows with this weapon grant Super energy. This weapon gains bonus damage once your Super expires.,이 무기로 final blow를 가하면 Super energy를 얻는다. 이 무기는 Super가 만료되면 bonus damage를 얻는다.
S038,Rapidly defeat combatants or Guardians with Auto Rifle final blows.,Auto Rifle final blows로 combatants 또는 Guardians를 빠르게 처치하라.
S039,Summon your Throwing Hammer back to you.,던지는 망치를 다시 너에게 소환해.
S040,Overflows the magazine based on the number of rapid final blows before reloading. Improves reload.,재장전하기 전 빠른 final blow 수에 따라 magazine을 넘쳐흐르게 한다. reload를 향상시킨다.
S041,+5 Class ▲,+5 클래스 ▲
S042,Prosperity (Vanguard),번영 (선봉)
S043,Increased damage against Taken enemies.,Taken 적에게 주는 피해 증가.
S044,Move faster while guarding with the Unbreakable shield. Damage blocked with Unbreakable is converted to grenade energy.,Unbreakable 방패로 방어하는 동안 더 빠르게 움직여라. Unbreakable로 막은 피해는 수류탄 에너지로 전환된다.
S045,Healing grenades spawn a Restorative Turret. Healing allies occasionally spawns an Orb of Power.,힐링 수류탄은 Restorative Turret를 생성한다. 아군을 힐하면 가끔 Orb of Power가 생성된다.
S046,Improved Drengr's Lash. Gain Woven Mail when suspending targets.,드렝그의 채찍이 강화됨. 대상을 현가할 때 Woven Mail을 획득한다.
S047,"Equip this tier 5 weapon ornament to change the appearance of Burden of Guilt. Once you get an ornament, it's unlocked for all characters on your account.","이 티어 5 무기 ornament를 장착하면 Burden of Guilt의 외형이 바뀐다. 한 번 ornament를 얻으면, 네 계정의 모든 캐릭터에서 해금된다."
S048,Heal yourself when using your class ability.  This modifier is only available during Solstice.,클래스 능력을 사용할 때 자신을 치유해라.  이 modifier는 Solstice 동안에만 사용할 수 있다.
S049,Do you deserve it?,그걸 받을 자격이 있나?
S050,"""He is the closest thing I will ever have to a son.""",그는 내가 평생 가질 수 있는 아들에 가장 가까운 존재다.
S051,"""Under a sturdy enough helmet, no one can see how damaged you are."" —Reed-7, Exo Titan","튼튼한 헬멧 아래에서는, 아무도 네가 얼마나 손상됐는지 볼 수 없어. —리드-7, 엑소 타이탄"
S052,"""I have foreseen the work that will bring this system together. I'll need your strength."" —Emperor Calus","""이 시스템을 하나로 묶어 줄 일을 나는 예견했다. 네 힘이 필요하다."" —황제 칼루스"
S053,"Do you believe in the Gaiaforms, the energies within planets?","가이아폼, 행성 안의 에너지들을 믿어?"
S054,"""Many regard the Hive as mere monsters. But they are so much more. Their minds are sharp, like their blades."" —Eris Morn",많은 이들이 Hive를 그저 괴물로 여긴다. 하지만 그들은 훨씬 더 그 이상이다. 그들의 정신은 그들의 칼날처럼 날카롭다. —Eris Morn
S055,"At the edge of the universe, I stared into the infinite deep. It stared back, and was pleased. I would become the herald of its victory, and bear witness for all creation.","우주의 끝에서, 나는 무한한 심연을 응시했다. 그것도 나를 응시했고, 기뻐했다. 나는 그 승리의 전령이 되어, 모든 창조물의 증인이 될 것이다."
S056,"A little bolder. A little more focus. You are almost ready… to cast a Shadow. —Calus, Emperor of the Cabal","조금 더 대담하게. 조금 더 집중해. 너는 거의 준비됐어… 그림자를 시전할. —칼루스, 카발의 황제"
S057,"""We are what we survive. They will not be the Guardians."" —Lord Saladin",우리는 우리가 살아남은 것 그 자체다. 그들은 Guardians가 되지 못할 것이다. —Lord Saladin
S058,"""There is a place where we can remember who we are."" —Imogen Rife","""우리가 누구인지 기억할 수 있는 곳이 있어."" —이모젠 라이프"
S059,"""There is an end to everything."" —Emissary of the Nine","""모든 것에는 끝이 있다."" —나인의 사절"
S060,"""Yours, until the last flame dies and all words have been spoken."" —Shin Malphur to you, as you journey forth into the unknown","""마지막 불꽃이 꺼지고 모든 말이 다해질 때까지, 너의 것이다."" —신 말퍼가 너에게, 네가 미지로 나아갈 때"
S061,"""I know you."" —Lord Felwinter","""너를 알고 있다."" —펠윈터 경"
S062,"""Some speculate that the radiolarian fluid is the last vestige of a biological life-form that became the Vex."" —Sister Faora, ""Theories on the Vex""","""일부는 radiolarian fluid가 Vex가 된 생물학적 생명체의 마지막 흔적이라고 추측한다."" —시스터 Faora, ""Theories on the Vex"""
S063,"""Have you ever stared into the green soulfire flame? There is terror, but also… something warm."" —Eris Morn","""초록 소울파이어 불꽃을 바라본 적 있나? 거기엔 공포가 있지만, 또한… 뭔가 따뜻한 것도 있다."" —에리스 모른"
