entity,aliases
Ikora Rey,Ikora|Ikora Rey
Zavala,Zavala|Commander Zavala
Cayde-6,Cayde|Cayde-6
Crow,Crow|Uldren
Mara Sov,Mara|Mara Sov
Mithrax,Mithrax|Misraaks
Saint-14,Saint|Saint-14|Saint 14
Eido,Eido
Eris Morn,Eris|Eris Morn
The Drifter,Drifter|The Drifter
Savathun,Savathun
Xivu Arath,Xivu Arath|Xivu
Oryx,Oryx
Lodi,Lodi|Louis Yero
Caiatl,Caiatl
Aunor Mahal,Aunor|Aunor Mahal
Dredgen Bael,Bael|Dredgen Bael
Premier Lume,Lume|Premier Lume
Riliks,Riliks
Vanguard,Vanguard
Barant Imperium,Barant Imperium
Piker,Piker
VI,VI
