sample_id,sentence_type,source_text,detected_entities,relation_context
S001,UI,Unstoppable Force,,- No explicit relation context found. Use neutral default tone for this sentence type.
S002,UI,Nemean Gauntlets,,- No explicit relation context found. Use neutral default tone for this sentence type.
S003,UI,Icarus Drifter Legs,The Drifter,- Eris Morn romantic_partner_of The Drifter (confidence: high)\n- The Drifter emotional_anchor_of Eris Morn (confidence: high)\n- Aunor Mahal temporary_ally_of The Drifter (confidence: high)\n- Lodi cooperates_with The Drifter (confidence: medium)
S004,UI,Light and Dark Saga Exotics,,- No explicit relation context found. Use neutral default tone for this sentence type.
S005,UI,Dreaming Spectrum,,- No explicit relation context found. Use neutral default tone for this sentence type.
S006,UI,Ana: Black Box,Ana Bray,- No explicit relation context found. Use neutral default tone for this sentence type.
S007,UI,Transmatter Components,,- No explicit relation context found. Use neutral default tone for this sentence type.
S008,UI,The Empty Tank: Legend,,- No explicit relation context found. Use neutral default tone for this sentence type.
S009,UI,Bounty Hunter: Tangled Shore,,- No explicit relation context found. Use neutral default tone for this sentence type.
S010,UI,Swordmaster's Gauntlets,,- No explicit relation context found. Use neutral default tone for this sentence type.
S011,UI,Court of Blades (Wrathborn): Expert,,- No explicit relation context found. Use neutral default tone for this sentence type.
S012,UI,(Heroic) Dark Alliance,,- No explicit relation context found. Use neutral default tone for this sentence type.
S013,UI,Traveler's Judgment 5,,- No explicit relation context found. Use neutral default tone for this sentence type.
S014,UI,Blackletter Greaves,,- No explicit relation context found. Use neutral default tone for this sentence type.
S015,UI,Event Ticket,,- No explicit relation context found. Use neutral default tone for this sentence type.
S016,UI,Venom Unrivaled Strides,,- No explicit relation context found. Use neutral default tone for this sentence type.
S017,UI,Markov Chain,,- No explicit relation context found. Use neutral default tone for this sentence type.
S018,UI,Imponent III,,- No explicit relation context found. Use neutral default tone for this sentence type.
S019,UI,Splicer Vandal's Armory,,- No explicit relation context found. Use neutral default tone for this sentence type.
S020,UI,Phantasmic Fighter,,- No explicit relation context found. Use neutral default tone for this sentence type.
S021,UI,The Ritual: Master,,- No explicit relation context found. Use neutral default tone for this sentence type.
S022,UI,Vex Shock,,- No explicit relation context found. Use neutral default tone for this sentence type.
S023,UI,Weapons Intel,,- No explicit relation context found. Use neutral default tone for this sentence type.
S024,UI,Cottontail Shell,,- No explicit relation context found. Use neutral default tone for this sentence type.
S025,perk,Adds a nest of spiders to your transmat effects.,,- No explicit relation context found. Use neutral default tone for this sentence type.
S026,perk,Kill each set of Glyphkeepers in Exhibition within 5 seconds of each other.,,- No explicit relation context found. Use neutral default tone for this sentence type.
S027,perk,Your equipped Scout Rifles and Pulse Rifles fire shield-piercing rounds and stun [Shield-Piercing] Barrier Champions.,,- No explicit relation context found. Use neutral default tone for this sentence type.
