id,tag,source,human_translation,context,speaker,listener,notes,llm_translation,prompt_version_name,model,error_type,memo,reviewer
0,name,Legendary Engram,전설 엔그램,DestinyInventoryItemDefinition,,,item | short,전설 엔그람,Example imported prompt,example_model,Terminology,용어집 기준으로 엔그램 표기가 맞는지 확인 필요,sample_reviewer
1,description,An engram with complex markers. Contains a random Legendary weapon or armor piece.,복잡한 표시가 있는 엔그램입니다. 무작위 전설 무기 또는 방어구가 들어 있습니다.,DestinyInventoryItemDefinition,,,item | medium,복잡한 표시가 있는 엔그램입니다. 무작위 전설 무기 또는 방어구가 들어 있습니다.,Example imported prompt,example_model,Style,문체가 실제 게임 UI 톤과 맞는지 검토,sample_reviewer
2,name,Spacewalk Cloak,우주 유영 망토,DestinyInventoryItemDefinition,,,item | short,우주 유영 망토,Example imported prompt,example_model,No Error,,
3,name,Tangled Web Helm,뒤엉킨 거미줄 투구,DestinyInventoryItemDefinition,,,item | short,뒤엉킨 거미줄 투구,Example imported prompt,example_model,No Error,,
4,name,Raven Shard,까마귀 파편,DestinyInventoryItemDefinition,,,item | short,까마귀 파편,Example imported prompt,example_model,No Error,,
5,name,Traveler Donut Holes,여행자 도넛 홀,DestinyInventoryItemDefinition,,,item | short,여행자 도넛 홀,Example imported prompt,example_model,No Error,,
6,description,Deliver these unknowable alabaster spheres to Ikora Rey in the Tower Bazaar.,이 정체불명의 하얀 구체를 탑 시장에 있는 아이코라 레이에게 전해 주세요.,DestinyInventoryItemDefinition,,,item | medium,이 정체불명의 하얀 구체를 탑 시장에 있는 아이코라 레이에게 전해 주세요.,Example imported prompt,example_model,No Error,,
7,name,Classical-42,고전음악-42,DestinyInventoryItemDefinition,,,item | short,고전음악-42,Example imported prompt,example_model,No Error,,
8,name,Countess SA/2,백작 부인 SA/2,DestinyInventoryItemDefinition,,,item | short,백작 부인 SA/2,Example imported prompt,example_model,No Error,,
9,name,Penumbral Cloak,어둠의 그림자 망토,DestinyInventoryItemDefinition,,,item | short,어둠의 그림자 망토,Example imported prompt,example_model,No Error,,
10,name,Acceleron (Spoil),가속체(오염),DestinyInventoryItemDefinition,,,item | short,가속체(오염),Example imported prompt,example_model,No Error,,
11,description,Gathered from the Spoil patrol in the Augur's Bethel.,전조의 성소의 오염 정찰에서 획득할 수 있습니다.,DestinyInventoryItemDefinition,,,item | medium,전조의 성소의 오염 정찰에서 획득할 수 있습니다.,Example imported prompt,example_model,No Error,,
12,name,IKELOS_SMG_v1.0.3,이켈로스_SMG_v1.0.3,DestinyInventoryItemDefinition,,,item | short,이켈로스_SMG_v1.0.3,Example imported prompt,example_model,No Error,,
13,name,Stygian Steed,칠흑의 군마,DestinyInventoryItemDefinition,,,item | short,칠흑의 군마,Example imported prompt,example_model,No Error,,
14,name,The Mourner,추모객,DestinyInventoryItemDefinition,,,item | short,추모객,Example imported prompt,example_model,No Error,,
15,name,Sugary Staple,달콤한 간식,DestinyInventoryItemDefinition,,,item | short,달콤한 간식,Example imported prompt,example_model,No Error,,
16,name,Distorted Arms Week Engram,왜곡된 무기 주간 엔그램,DestinyInventoryItemDefinition,,,item | short,왜곡된 무기 주간 엔그램,Example imported prompt,example_model,No Error,,
17,description,"Decrypts into a random event weapon, with a chance of rewarding a Holofoil weapon.",무작위 이벤트 무기로 해독됩니다. 홀로그램 장식 무기를 보상으로 획득할 확률이 있습니다.,DestinyInventoryItemDefinition,,,item | medium,무작위 이벤트 무기로 해독됩니다. 홀로그램 장식 무기를 보상으로 획득할 확률이 있습니다.,Example imported prompt,example_model,No Error,,
18,name,Photosuede Gloves,광학스웨이드 장갑,DestinyInventoryItemDefinition,,,item | short,광학스웨이드 장갑,Example imported prompt,example_model,No Error,,
19,name,Resonant Fury Gauntlets,공명하는 분노 건틀릿,DestinyInventoryItemDefinition,,,item | short,공명하는 분노 건틀릿,Example imported prompt,example_model,No Error,,
20,name,Solstice Gloves (Scorched),불에 그슬린 지점의 장갑,DestinyInventoryItemDefinition,,,item | short,불에 그슬린 지점의 장갑,Example imported prompt,example_model,No Error,,
21,name,Praxic Relic,실천의 성물,DestinyInventoryItemDefinition,,,item | short,실천의 성물,Example imported prompt,example_model,No Error,,
22,name,Found Verdict,확정 판결,DestinyInventoryItemDefinition,,,item | short,확정 판결,Example imported prompt,example_model,No Error,,
23,name,Tangled Web Greaves,뒤엉킨 거미줄 각반,DestinyInventoryItemDefinition,,,item | short,뒤엉킨 거미줄 각반,Example imported prompt,example_model,No Error,,
24,name,Pixeltouch,픽셀터치,DestinyInventoryItemDefinition,,,item | short,픽셀터치,Example imported prompt,example_model,No Error,,
25,description,Equip this ornament with Speaker's Sight to activate a unique visual effect.,대변자의 시각과 함께 장착하여 특별한 시각 효과를 활성화하는 장식입니다.,DestinyInventoryItemDefinition,,,item | medium,대변자의 시각과 함께 장착하여 특별한 시각 효과를 활성화하는 장식입니다.,Example imported prompt,example_model,No Error,,
26,name,Gladius Gloves,로마 단검 장갑,DestinyInventoryItemDefinition,,,item | short,로마 단검 장갑,Example imported prompt,example_model,No Error,,
27,description,"Equip this ornament on any eligible Legendary armor item to change its appearance. Once you get a universal ornament, it's unlocked for all characters of the relevant class on your account.",적용 가능한 전설 방어구 아이템에 장착하여 외양을 바꾸는 장식입니다. 획득한 범용 장식은 계정 내 해당 직업의 모든 캐릭터에서 사용할 수 있습니다.,DestinyInventoryItemDefinition,,,item | medium,적용 가능한 전설 방어구 아이템에 장착하여 외양을 바꾸는 장식입니다. 획득한 범용 장식은 계정 내 해당 직업의 모든 캐릭터에서 사용할 수 있습니다.,Example imported prompt,example_model,No Error,,
28,name,Malwear Gloves,멀웨어 장갑,DestinyInventoryItemDefinition,,,item | short,멀웨어 장갑,Example imported prompt,example_model,No Error,,
29,name,Blackletter Gloves,흑문자 장갑,DestinyInventoryItemDefinition,,,item | short,흑문자 장갑,Example imported prompt,example_model,No Error,,
