id,tag,source,human_translation,context,speaker,listener,notes
0,name,Legendary Engram,전설 엔그램,DestinyInventoryItemDefinition,,,item | short
1,description,An engram with complex markers. Contains a random Legendary weapon or armor piece.,복잡한 표시가 있는 엔그램입니다. 무작위 전설 무기 또는 방어구가 들어 있습니다.,DestinyInventoryItemDefinition,,,item | medium
2,name,Spacewalk Cloak,우주 유영 망토,DestinyInventoryItemDefinition,,,item | short
3,name,Tangled Web Helm,뒤엉킨 거미줄 투구,DestinyInventoryItemDefinition,,,item | short
4,name,Raven Shard,까마귀 파편,DestinyInventoryItemDefinition,,,item | short
5,name,Traveler Donut Holes,여행자 도넛 홀,DestinyInventoryItemDefinition,,,item | short
6,description,Deliver these unknowable alabaster spheres to Ikora Rey in the Tower Bazaar.,이 정체불명의 하얀 구체를 탑 시장에 있는 아이코라 레이에게 전해 주세요.,DestinyInventoryItemDefinition,,,item | medium
7,name,Classical-42,고전음악-42,DestinyInventoryItemDefinition,,,item | short
8,name,Countess SA/2,백작 부인 SA/2,DestinyInventoryItemDefinition,,,item | short
9,name,Penumbral Cloak,어둠의 그림자 망토,DestinyInventoryItemDefinition,,,item | short
10,name,Acceleron (Spoil),가속체(오염),DestinyInventoryItemDefinition,,,item | short
11,description,Gathered from the Spoil patrol in the Augur's Bethel.,전조의 성소의 오염 정찰에서 획득할 수 있습니다.,DestinyInventoryItemDefinition,,,item | medium
12,name,IKELOS_SMG_v1.0.3,이켈로스_SMG_v1.0.3,DestinyInventoryItemDefinition,,,item | short
13,name,Stygian Steed,칠흑의 군마,DestinyInventoryItemDefinition,,,item | short
14,name,The Mourner,추모객,DestinyInventoryItemDefinition,,,item | short
15,name,Sugary Staple,달콤한 간식,DestinyInventoryItemDefinition,,,item | short
16,name,Distorted Arms Week Engram,왜곡된 무기 주간 엔그램,DestinyInventoryItemDefinition,,,item | short
17,description,"Decrypts into a random event weapon, with a chance of rewarding a Holofoil weapon.",무작위 이벤트 무기로 해독됩니다. 홀로그램 장식 무기를 보상으로 획득할 확률이 있습니다.,DestinyInventoryItemDefinition,,,item | medium
18,name,Photosuede Gloves,광학스웨이드 장갑,DestinyInventoryItemDefinition,,,item | short
19,name,Resonant Fury Gauntlets,공명하는 분노 건틀릿,DestinyInventoryItemDefinition,,,item | short
20,name,Solstice Gloves (Scorched),불에 그슬린 지점의 장갑,DestinyInventoryItemDefinition,,,item | short
21,name,Praxic Relic,실천의 성물,DestinyInventoryItemDefinition,,,item | short
22,name,Found Verdict,확정 판결,DestinyInventoryItemDefinition,,,item | short
23,name,Tangled Web Greaves,뒤엉킨 거미줄 각반,DestinyInventoryItemDefinition,,,item | short
24,name,Pixeltouch,픽셀터치,DestinyInventoryItemDefinition,,,item | short
25,description,Equip this ornament with Speaker's Sight to activate a unique visual effect.,대변자의 시각과 함께 장착하여 특별한 시각 효과를 활성화하는 장식입니다.,DestinyInventoryItemDefinition,,,item | medium
26,name,Gladius Gloves,로마 단검 장갑,DestinyInventoryItemDefinition,,,item | short
27,description,"Equip this ornament on any eligible Legendary armor item to change its appearance. Once you get a universal ornament, it's unlocked for all characters of the relevant class on your account.",적용 가능한 전설 방어구 아이템에 장착하여 외양을 바꾸는 장식입니다. 획득한 범용 장식은 계정 내 해당 직업의 모든 캐릭터에서 사용할 수 있습니다.,DestinyInventoryItemDefinition,,,item | medium
28,name,Malwear Gloves,멀웨어 장갑,DestinyInventoryItemDefinition,,,item | short
29,name,Blackletter Gloves,흑문자 장갑,DestinyInventoryItemDefinition,,,item | short
30,name,Prophet Snow,눈의 선지자,DestinyInventoryItemDefinition,,,item | short
31,name,Illicit Sentry Greaves,불법 보초병 각반,DestinyInventoryItemDefinition,,,item | short
32,name,Lawless Frontier Gear,무법지대 장비,DestinyInventoryItemDefinition,,,item | short
33,description,An engram with untapped potential. Contains a random tiered weapon or armor piece.,손대지 않은 잠재력이 있는 엔그램입니다. 무작위 단계 무기 또는 방어구가 들어 있습니다.,DestinyInventoryItemDefinition,,,item | medium
34,name,Bright Engram Bonus,광휘 엔그램 보너스,DestinyInventoryItemDefinition,,,item | short
35,description,"Unlocks an additional Bright Engram reward for every 500,000 XP earned through gameplay. This bonus remains active even after the maximum rank is achieved.","게임 플레이로 500,000 경험치를 획득할 때마다 광휘 엔그램 보상을 추가로 잠금 해제합니다. 이 보너스는 최고 등급을 획득한 후에도 유지됩니다.",DestinyInventoryItemDefinition,,,item | medium
36,name,"Nail, Meet Hammer",못과 망치의 만남,DestinyInventoryItemDefinition,,,item | short
37,description,"This weapon is more effective against combatant shields. Destroying a shield with this weapon grants bonus Special ammo progress if it uses Primary or Heavy ammo, or Heavy ammo progress if it uses Special ammo.","이 무기는 전투원의 방어막에 더 효과적입니다. 이 무기로 방어막을 파괴하면 일반 탄약 또는 중화기 탄약을 사용할 경우 특수 탄약 진척도가 증가하며, 특수 화기 탄약을 사용할 경우 중화기 탄약 진척도가 증가합니다.",DestinyInventoryItemDefinition,,,item | long
38,name,Warden's Law,감시관의 법률,DestinyInventoryItemDefinition,,,item | short
39,name,New Demotic Bond,새로운 민중 완장,DestinyInventoryItemDefinition,,,item | short
40,name,Purple Beam Effects,보라색 빛줄기 효과,DestinyInventoryItemDefinition,,,item | short
41,description,"Modifications for your ship's transmat systems, so you'll always arrive in style.",우주선의 물질 전송 시스템을 개량해 개성 넘치는 모습으로 도착할 수 있습니다.,DestinyInventoryItemDefinition,,,item | medium
42,name,Green Beam Effects,초록색 빛줄기 효과,DestinyInventoryItemDefinition,,,item | short
43,name,Gold Beam Effects,금색 빛줄기 효과,DestinyInventoryItemDefinition,,,item | short
44,name,Silver Beam Effects,은색 빛줄기 효과,DestinyInventoryItemDefinition,,,item | short
45,name,Purple Spotlight Effects,보라색 조명 효과,DestinyInventoryItemDefinition,,,item | short
46,name,Green Spotlight Effects,초록색 조명 효과,DestinyInventoryItemDefinition,,,item | short
47,name,Yellow Spotlight Effects,노란색 조명 효과,DestinyInventoryItemDefinition,,,item | short
48,name,Silver Spotlight Effects,은색 조명 효과,DestinyInventoryItemDefinition,,,item | short
49,name,Yellow Class Sigil,노란색 직업 인장,DestinyInventoryItemDefinition,,,item | short
50,name,Pink Class Sigil,분홍색 직업 인장,DestinyInventoryItemDefinition,,,item | short
51,name,Shadow's Gloves,그림자 부대 장갑,DestinyInventoryItemDefinition,,,item | short
52,name,Last Foray,마지막 습격,DestinyInventoryItemDefinition,,,item | short
53,name,Annealed Shaper Robes,열처리 공작가 로브,DestinyInventoryItemDefinition,,,item | short
