entity,entity_type,aliases
Ikora Rey,character,Ikora|Ikora Rey
Zavala,character,Zavala|Commander Zavala
Saint-14,character,Saint-14|Saint 14|Saint
Ana Bray,character,Ana|Ana Bray
Eris Morn,character,Eris|Eris Morn
Cayde-6,character,Cayde|Cayde-6
Crow,character,Crow|Uldren
Mara Sov,character,Mara|Mara Sov
Calus,character,Calus|Emperor Calus
Rhulk,character,Rhulk
The Witness,character,Witness|The Witness
Savathun,character,Savathun
Xivu Arath,character,Xivu Arath|Xivu
Oryx,character,Oryx
Guardian,character,Guardian|Guardians
Mithrax,character,Mithrax|Misraaks
Eido,character,Eido
The Drifter,character,Drifter|The Drifter
Lodi,character,Lodi|Louis Yero
Caiatl,character,Caiatl
Aunor Mahal,character,Aunor|Aunor Mahal
Dredgen Bael,character,Bael|Dredgen Bael
Premier Lume,character,Lume|Premier Lume
Petra Venj,character,Petra|Petra Venj
Riliks,character,Riliks
The Nine,faction,Nine|The Nine
VI,paracausal_entity,VI
Cabal,faction,Cabal
Fallen,faction,Fallen
Vanguard,faction,Vanguard
Hive,faction,Hive
Barant Imperium,faction,Barant Imperium
Piker,faction,Piker
