sample_id,sentence_type,source_text,detected_entities,relation_context
S001,UI,Unstoppable Force,,- No external relation context found. Use default sentence-type style.
S002,UI,Nemean Gauntlets,,- No external relation context found. Use default sentence-type style.
S003,UI,Icarus Drifter Legs,The Drifter,- Eris Morn romantic_partner_of The Drifter (confidence: high)\n- The Drifter emotional_anchor_of Eris Morn (confidence: high)\n- Aunor Mahal temporary_ally_of The Drifter (confidence: high)\n- Lodi cooperates_with The Drifter (confidence: medium)
S004,UI,Light and Dark Saga Exotics,,- No external relation context found. Use default sentence-type style.
S005,UI,Dreaming Spectrum,,- No external relation context found. Use default sentence-type style.
S006,UI,Ana: Black Box,,- No external relation context found. Use default sentence-type style.
S007,UI,Transmatter Components,,- No external relation context found. Use default sentence-type style.
S008,UI,The Empty Tank: Legend,,- No external relation context found. Use default sentence-type style.
S009,UI,Bounty Hunter: Tangled Shore,,- No external relation context found. Use default sentence-type style.
S010,UI,Swordmaster's Gauntlets,,- No external relation context found. Use default sentence-type style.
S011,UI,Court of Blades (Wrathborn): Expert,,- No external relation context found. Use default sentence-type style.
S012,UI,(Heroic) Dark Alliance,,- No external relation context found. Use default sentence-type style.
S013,UI,Traveler's Judgment 5,,- No external relation context found. Use default sentence-type style.
S014,UI,Blackletter Greaves,,- No external relation context found. Use default sentence-type style.
S015,UI,Event Ticket,,- No external relation context found. Use default sentence-type style.
S016,UI,Venom Unrivaled Strides,,- No external relation context found. Use default sentence-type style.
S017,UI,Markov Chain,,- No external relation context found. Use default sentence-type style.
S018,UI,Imponent III,,- No external relation context found. Use default sentence-type style.
S019,UI,Splicer Vandal's Armory,,- No external relation context found. Use default sentence-type style.
S020,UI,Phantasmic Fighter,,- No external relation context found. Use default sentence-type style.
S021,UI,The Ritual: Master,,- No external relation context found. Use default sentence-type style.
S022,UI,Vex Shock,,- No external relation context found. Use default sentence-type style.
S023,UI,Weapons Intel,,- No external relation context found. Use default sentence-type style.
S024,UI,Cottontail Shell,,- No external relation context found. Use default sentence-type style.
S025,perk,Adds a nest of spiders to your transmat effects.,,- No external relation context found. Use default sentence-type style.
S026,perk,Kill each set of Glyphkeepers in Exhibition within 5 seconds of each other.,,- No external relation context found. Use default sentence-type style.
S027,perk,Your equipped Scout Rifles and Pulse Rifles fire shield-piercing rounds and stun [Shield-Piercing] Barrier Champions.,,- No external relation context found. Use default sentence-type style.
S028,perk,"By aligning with the Festival Flame, you do more damage with Void power.",,- No external relation context found. Use default sentence-type style.
S029,perk,Defeat combatants with precision final blows in Nightmare Hunts.,,- No external relation context found. Use default sentence-type style.
S030,perk,Adds a phosphene appearance to your transmat effects.,,- No external relation context found. Use default sentence-type style.
S031,perk,Final blows with this weapon fill the magazine of the equipped Energy weapon from reserves.,,- No external relation context found. Use default sentence-type style.
S032,perk,Greatly increases charge rate and guard resistance.,,- No external relation context found. Use default sentence-type style.
S033,perk,Faster ready and stow speed for Trace Rifles.,,- No external relation context found. Use default sentence-type style.
S034,perk,Dimensional Tithes,,- No external relation context found. Use default sentence-type style.
S035,perk,Body shots landed with this weapon increase precision damage and aim assist for a short time. Body shots landed while the perk is active refresh the time.,,- No external relation context found. Use default sentence-type style.
S036,perk,Earn bonus Enhancement Prisms when completing ritual activities.,,- No external relation context found. Use default sentence-type style.
S037,perk,Final blows with this weapon grant Super energy. This weapon gains bonus damage once your Super expires.,,- No external relation context found. Use default sentence-type style.
S038,perk,Rapidly defeat combatants or Guardians with Auto Rifle final blows.,,- No external relation context found. Use default sentence-type style.
S039,perk,Summon your Throwing Hammer back to you.,,- No external relation context found. Use default sentence-type style.
S040,perk,Overflows the magazine based on the number of rapid final blows before reloading. Improves reload.,,- No external relation context found. Use default sentence-type style.
S041,perk,+5 Class ▲,,- No external relation context found. Use default sentence-type style.
S042,perk,Prosperity (Vanguard),Vanguard,- Caiatl allied_with Vanguard (confidence: high)\n- Savathun enemy_of Vanguard (confidence: high)\n- Dredgen Bael enemy_of Vanguard (confidence: high)\n- Mara Sov politically_cooperates_with Vanguard (confidence: medium)
S043,perk,Increased damage against Taken enemies.,,- No external relation context found. Use default sentence-type style.
S044,perk,Move faster while guarding with the Unbreakable shield. Damage blocked with Unbreakable is converted to grenade energy.,,- No external relation context found. Use default sentence-type style.
S045,perk,Healing grenades spawn a Restorative Turret. Healing allies occasionally spawns an Orb of Power.,,- No external relation context found. Use default sentence-type style.
S046,perk,Improved Drengr's Lash. Gain Woven Mail when suspending targets.,,- No external relation context found. Use default sentence-type style.
S047,perk,"Equip this tier 5 weapon ornament to change the appearance of Burden of Guilt. Once you get an ornament, it's unlocked for all characters on your account.",,- No external relation context found. Use default sentence-type style.
