id,tag,source,human_translation,context,speaker,listener,notes
slaythespire_0001,achievements:NAMES,Shrug It Off,털어내기,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=0
slaythespire_0002,achievements:NAMES,Purity,순수,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=1
slaythespire_0003,achievements:NAMES,Come At Me,덤벼봐,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=2
slaythespire_0004,achievements:NAMES,The Pact,조약,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=3
slaythespire_0005,achievements:NAMES,Adrenaline,아드레날린,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=4
slaythespire_0006,achievements:NAMES,Powerful,강력,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=5
slaythespire_0007,achievements:NAMES,Jaxxed,약물 중독,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=6
slaythespire_0008,achievements:NAMES,Impervious,무적,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=7
slaythespire_0009,achievements:NAMES,Barricaded,바리케이드,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=8
slaythespire_0010,achievements:NAMES,Catalyst,촉매,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=9
slaythespire_0011,achievements:NAMES,Plague,역병,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=10
slaythespire_0012,achievements:NAMES,Ninja,닌자,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=11
slaythespire_0013,achievements:NAMES,Infinity,무한,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=12
slaythespire_0014,achievements:NAMES,You Are Nothing,별 것 아니네,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=13
slaythespire_0015,achievements:NAMES,Perfect,완벽,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=14
slaythespire_0016,achievements:NAMES,The Guardian,수호자,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=15
slaythespire_0017,achievements:NAMES,The Ghost,유령,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=16
slaythespire_0018,achievements:NAMES,The Boss,지배자,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=17
slaythespire_0019,achievements:NAMES,The Automaton,자동인형,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=18
slaythespire_0020,achievements:NAMES,The Collector,수집가,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=19
slaythespire_0021,achievements:NAMES,The Champion,투사,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=20
slaythespire_0022,achievements:NAMES,The Crow,까마귀,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=21
slaythespire_0023,achievements:NAMES,The Shapes,도형들,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=22
slaythespire_0024,achievements:NAMES,The Time Eater,시간 포식자,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=23
slaythespire_0025,achievements:NAMES,Ruby,루비,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=24
slaythespire_0026,achievements:NAMES,Emerald,에메랄드,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=25
slaythespire_0027,achievements:NAMES,Hidden,숨겨짐,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=26
slaythespire_0028,achievements:NAMES,Who Needs Relics?,유물이 필요한가?,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=27
slaythespire_0029,achievements:NAMES,Speed Climber,쾌속 등반가,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=28
slaythespire_0030,achievements:NAMES,Ascend 0,승천 0,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=29
slaythespire_0031,achievements:NAMES,Ascend 10,승천 10,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=30
slaythespire_0032,achievements:NAMES,Minimalist,미니멀리스트,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=31
slaythespire_0033,achievements:NAMES,Ooh Donut!,오오... 도넛!,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=32
slaythespire_0034,achievements:NAMES,Sapphire,사파이어,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=33
slaythespire_0035,achievements:NAMES,Common Sense,일반 상식,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=34
slaythespire_0036,achievements:NAMES,Focused,밀집된,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=35
slaythespire_0037,achievements:NAMES,Neon,네온,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=36
slaythespire_0038,achievements:NAMES,Energy is Overrated,에너지가 초과되었습니다,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=37
slaythespire_0039,achievements:NAMES,My Lucky Day,운수 좋은 날,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=38
slaythespire_0040,achievements:NAMES,The Transient,과도자,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=39
slaythespire_0041,achievements:NAMES,Ascend 20,승천 20,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=40
slaythespire_0042,achievements:NAMES,Ruby+,루비+,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=41
slaythespire_0043,achievements:NAMES,Emerald+,에메랄드+,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=42
slaythespire_0044,achievements:NAMES,Sapphire+,사파이어+,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=43
slaythespire_0045,achievements:NAMES,The End?,엔딩?,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=44
slaythespire_0046,achievements:NAMES,Eternal One,불멸자,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=45
slaythespire_0047,achievements:NAMES,Amethyst,자수정,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=46
slaythespire_0048,achievements:NAMES,Amethyst+,자수정+,AchievementGrid/NAMES,,,game=slaythespire; file=achievements_merged.json; index=47
slaythespire_0049,achievements:TEXT,Win a battle with 1 HP remaining.,체력을 1 남기고 전투에서 승리하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=0
