sample_id,source_text,translation
S001,Unstoppable Force,멈출 수 없는 힘
S002,Nemean Gauntlets,네메안 건틀릿
S003,Icarus Drifter Legs,이카루스 드리프터 다리
S004,Light and Dark Saga Exotics,빛과 어둠 사가 엑조틱스
S005,Dreaming Spectrum,꿈꾸는 스펙트럼
S006,Ana: Black Box,아나: 블랙박스
S007,Transmatter Components,트랜스매터 구성품
S008,The Empty Tank: Legend,빈 탱크: 전설
S009,Bounty Hunter: Tangled Shore,현상금 사냥꾼: 얽힌 해안
S010,Swordmaster's Gauntlets,검객의 건틀릿
S011,Court of Blades (Wrathborn): Expert,칼날의 궁정 (Wrathborn): 전문가
S012,(Heroic) Dark Alliance,(영웅적) 어둠의 동맹
S013,Traveler's Judgment 5,여행자의 심판 5
S014,Blackletter Greaves,블랙레터 경갑
S015,Event Ticket,이벤트 티켓
S016,Venom Unrivaled Strides,맹독 무적의 발걸음
S017,Markov Chain,마르코프 체인
S018,Imponent III,위압 III
S019,Splicer Vandal's Armory,스플라이서 반달의 무기고
S020,Phantasmic Fighter,환영의 전투가
S021,The Ritual: Master,의식: 마스터
S022,Vex Shock,벡스 쇼크
S023,Weapons Intel,무기 정보
S024,Cottontail Shell,코튼테일 껍질
S025,Adds a nest of spiders to your transmat effects.,트랜스매트 효과에 거미 둥지를 추가한다.
S026,Kill each set of Glyphkeepers in Exhibition within 5 seconds of each other.,Exhibition에서 각 Glyphkeepers 세트를 서로 5초 이내에 처치해라.
S027,Your equipped Scout Rifles and Pulse Rifles fire shield-piercing rounds and stun [Shield-Piercing] Barrier Champions.,장착한 Scout Rifle과 Pulse Rifle이 방패 관통 탄환을 발사하고 [Shield-Piercing] Barrier Champion을 기절시킨다.
S028,"By aligning with the Festival Flame, you do more damage with Void power.",Festival Flame과 맞추면 Void 힘으로 더 많은 피해를 준다.
S029,Defeat combatants with precision final blows in Nightmare Hunts.,나이트메어 헌트에서 정밀한 최후 일격으로 combatants를 처치해라.
S030,Adds a phosphene appearance to your transmat effects.,트랜스매트 효과에 포스펜 외형을 추가합니다.
S031,Final blows with this weapon fill the magazine of the equipped Energy weapon from reserves.,이 무기로 final blow를 가하면 보관 중인 장착한 Energy 무기의 탄창이 채워진다.
S032,Greatly increases charge rate and guard resistance.,충전 속도와 가드 저항을 크게 증가시킨다.
S033,Faster ready and stow speed for Trace Rifles.,Trace Rifle의 준비 및 넣기 속도 증가.
S034,Dimensional Tithes,차원 십일조
S035,Body shots landed with this weapon increase precision damage and aim assist for a short time. Body shots landed while the perk is active refresh the time.,이 무기로 적중한 바디샷은 짧은 시간 동안 정밀 피해와 조준 보정을 증가시킨다. perk가 활성화된 동안 적중한 바디샷은 지속 시간을 갱신한다.
S036,Earn bonus Enhancement Prisms when completing ritual activities.,의식 활동을 완료하면 보너스 Enhancement Prisms를 획득한다.
S037,Final blows with this weapon grant Super energy. This weapon gains bonus damage once your Super expires.,이 무기로 final blow를 가하면 Super energy를 얻는다. Super가 끝나면 이 무기는 bonus damage를 얻는다.
S038,Rapidly defeat combatants or Guardians with Auto Rifle final blows.,오토 라이플 최종 일격으로 전투원이나 가디언을 빠르게 처치해.
S039,Summon your Throwing Hammer back to you.,던지는 망치를 다시 너에게 소환해.
S040,Overflows the magazine based on the number of rapid final blows before reloading. Improves reload.,재장전 전에 빠른 final blow 횟수에 따라 탄창을 넘쳐 채운다. 재장전을 향상시킨다.
S041,+5 Class ▲,+5 클래스 ▲
S042,Prosperity (Vanguard),번영 (Vanguard)
S043,Increased damage against Taken enemies.,Taken 적에게 주는 피해 증가.
S044,Move faster while guarding with the Unbreakable shield. Damage blocked with Unbreakable is converted to grenade energy.,Unbreakable 방패로 방어하는 동안 더 빠르게 움직인다. Unbreakable로 막은 피해는 수류탄 에너지로 전환된다.
S045,Healing grenades spawn a Restorative Turret. Healing allies occasionally spawns an Orb of Power.,치유 수류탄은 회복 터렛을 생성한다. 아군을 치유하면 가끔 힘의 구체를 생성한다.
S046,Improved Drengr's Lash. Gain Woven Mail when suspending targets.,드렝거의 채찍 강화. 대상을 공중에 띄울 때 Woven Mail을 획득한다.
S047,"Equip this tier 5 weapon ornament to change the appearance of Burden of Guilt. Once you get an ornament, it's unlocked for all characters on your account.","이 5단계 무기 장식을 장착하면 Burden of Guilt의 외형이 바뀐다. 장식을 한 번 얻으면, 계정의 모든 캐릭터에서 잠금 해제된다."
S048,Heal yourself when using your class ability.  This modifier is only available during Solstice.,클래스 능력을 사용할 때 자신을 치유한다.  이 modifier는 Solstice 동안에만 사용할 수 있다.
S049,Do you deserve it?,그럴 자격이 있어?
S050,"""He is the closest thing I will ever have to a son.""",그는 내가 아들로 가질 수 있는 가장 가까운 존재야.
S051,"""Under a sturdy enough helmet, no one can see how damaged you are."" —Reed-7, Exo Titan","“튼튼한 헬멧만 쓰고 있으면, 네가 얼마나 망가졌는지 아무도 못 봐.” —Reed-7, Exo Titan"
S052,"""I have foreseen the work that will bring this system together. I'll need your strength."" —Emperor Calus",이 시스템을 하나로 묶어낼 일을 내가 예견했다. 네 힘이 필요하다. —황제 칼루스
S053,"Do you believe in the Gaiaforms, the energies within planets?","가이아폼, 그러니까 행성 안의 에너지들을 믿어?"
S054,"""Many regard the Hive as mere monsters. But they are so much more. Their minds are sharp, like their blades."" —Eris Morn","""많은 이들이 Hive를 그저 괴물로 여겨. 하지만 그들은 훨씬 더 복잡해. 그들의 정신은 그들의 칼날처럼 날카롭지."" —Eris Morn"
S055,"At the edge of the universe, I stared into the infinite deep. It stared back, and was pleased. I would become the herald of its victory, and bear witness for all creation.","우주의 끝에서, 나는 끝없는 심연을 바라보았다. 심연도 나를 바라보았고, 만족해했다. 나는 그 승리의 전령이 되어, 모든 창조물의 증인이 될 것이다."
S056,"A little bolder. A little more focus. You are almost ready… to cast a Shadow. —Calus, Emperor of the Cabal","조금 더 대담하게. 조금 더 집중해. 넌 거의 준비됐어… 그림자를 드리울 준비가. —칼루스, 카발의 황제"
S057,"""We are what we survive. They will not be the Guardians."" —Lord Saladin",우리가 살아남는 것이 곧 우리다. 그들은 가디언이 되지 못할 것이다. —로드 살라딘
S058,"""There is a place where we can remember who we are."" —Imogen Rife","""우리가 누구인지 기억할 수 있는 곳이 있어."" —Imogen Rife"
S059,"""There is an end to everything."" —Emissary of the Nine","""모든 것에는 끝이 있다."" —나인 대사자"
S060,"""Yours, until the last flame dies and all words have been spoken."" —Shin Malphur to you, as you journey forth into the unknown","""마지막 불꽃이 꺼지고 모든 말이 다해질 때까지, 너의 것이다."" —신 말푸르가, 네가 미지로 나아갈 때 너에게"
S061,"""I know you."" —Lord Felwinter","""너를 알고 있다."" —펠윈터 경"
S062,"""Some speculate that the radiolarian fluid is the last vestige of a biological life-form that became the Vex."" —Sister Faora, ""Theories on the Vex""","“일부는 radiolarian fluid가 Vex가 된 생물학적 생명체의 마지막 흔적이라고 추측한다.” —수녀 Faora, “Vex에 대한 이론”"
S063,"""Have you ever stared into the green soulfire flame? There is terror, but also… something warm."" —Eris Morn","""초록빛 소울파이어 불꽃을 바라본 적 있어? 거기엔 공포가 있지만, 또… 뭔가 따뜻한 것도 있어."" —에리스 모른"
S064,"""Osiris said that he started to pity the Red Legion, getting trapped in here for infinite eternities. I think they're getting exactly what they deserve."" —Sagira","""오시리스는 레드 리전이 여기 갇혀 무한한 영겁을 보내는 걸 보고 불쌍해지기 시작했다고 했어. 난 그들이 마땅히 받아야 할 걸 정확히 받고 있다고 생각해."" —사기라"
S065,"""I am lightning, energy unbound, but directed."" The Splicer felt the Arc energy crackling around him and joined with it.","“나는 번개다. 속박되지 않은 에너지, 그러나 방향을 가진.” 스플라이서는 자신 주위에서 딱딱거리는 아크 에너지를 느끼고 그것과 하나가 되었다."
S066,"A TRESPASSER you are not welcome here HOW DID YOU FIND US? ""She sent me."" You are not your queen. A PUPPET defined by scars We have no need of you. WE HAVE OUR OWN PUPPETS L E T H E R S P E A K ""I came to discuss the future.""","침입자여, 여긴 네가 있을 곳이 아니다 어떻게 우리를 찾았지? ""그녀가 나를 보냈다."" 너는 네 여왕이 아니다. 상처로 정의된 꼭두각시 우리는 네가 필요 없다. 우리에겐 우리만의 꼭두각시가 있다 그에게 말하게 하라 ""나는 미래를 논의하러 왔다."""
S067,"Sometimes it makes a guy feel better to make fun of someone way worse off than he is. He knows it's a mistake soon as he sets eyes on the giant robot face, though. Maybe somewhere else. He turns and goes, ignoring the dramatic monologue already kicking off behind him.","가끔은 자기보다 훨씬 처지가 안 좋은 사람을 놀려대는 게 기분이 나아지기도 한다. 하지만 거대한 로봇 얼굴을 보는 순간, 그건 실수라는 걸 바로 알게 된다. 어쩌면 다른 곳에서나. 그는 몸을 돌려 떠나고, 뒤에서는 이미 극적인 독백이 시작되는 걸 무시한다."
S068,this will not reach you anything a knife writes would never but no more speaking that time is over Im sorry I see the waves I see the ship sinking the sky is filled with shadow I love you I love you Im alone what hurts me is you are too,이건 너에게 아무것도 닿지 않을 거야 칼이 쓰는 것은 결코 그렇지 하지만 더는 말하지 마 그때는 끝났어 미안해 나는 파도를 봐 나는 배가 가라앉는 걸 봐 하늘은 그림자로 가득 차 있어 사랑해 사랑해 나는 혼자야 나를 아프게 하는 건 너도 그렇다는 거야
S069,"Someone else finds him there. He sees himself out, mouth stinging as he takes the stairs. That's it, then. There's nothing for him here. And he was a fool to think there was. Time to go.",누군가가 그를 거기서 발견한다. 그는 계단을 오르며 입안이 얼얼한 채로 자리를 뜬다. 그게 전부다. 그러면 여기엔 그를 위한 건 아무것도 없다. 그리고 그런 게 있을 거라 생각한 건 어리석었다. 이제 갈 시간이다.
S070,"""Even in the dark, I still feel the spark of life within me."" His Gauntlet roared as he drew a wide circle in the air, and the rains began to fall.","""어둠 속에서도, 나는 여전히 내 안에 있는 생명의 불꽃을 느낀다."" 그의 건틀릿이 포효했고, 그가 공중에 넓은 원을 그리자 비가 내리기 시작했다."
S071,"[[Neuron-Sheath key] [Run through, Time and time again] [In Ritual] [In Ceremony] [In Vital Sequence] [Image//History] [Vision//Grace] [Sight//Clairvoyance] [War divinely conjured] [Canvassed data bits] [Symphonic calculation] [Magnitude manufactured] [Order Incomplete]]","[[뉴런-외피 키] [반복해서, 또 반복해서] [의식 속에서] [의례 속에서] [생명 순서 속에서] [이미지//역사] [비전//은총] [시야//예지] [신성하게 소환된 전쟁] [데이터 비트들을 캔버스에 펼친] [교향적 계산] [제조된 규모] [질서 미완성]]"
