sample_id,source_text,translation,sentence_type,relation_context
S001,Unstoppable Force,막을 수 없는 힘,UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S002,Nemean Gauntlets,네메안 건틀릿,UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S003,Icarus Drifter Legs,이카루스 드리프터 다리,UI,- Eris Morn romantic_partner_of The Drifter (confidence: high)\n- The Drifter emotional_anchor_of Eris Morn (confidence: high)\n- Aunor Mahal temporary_ally_of The Drifter (confidence: high)\n- Lodi cooperates_with The Drifter (confidence: medium)
S004,Light and Dark Saga Exotics,빛과 어둠 사가 이국품,UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S005,Dreaming Spectrum,꿈꾸는 스펙트럼,UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S006,Ana: Black Box,아나: 블랙박스,UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S007,Transmatter Components,트랜스매터 구성 요소,UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S008,The Empty Tank: Legend,빈 탱크: 전설,UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S009,Bounty Hunter: Tangled Shore,현상금 사냥꾼: 얽힌 해안,UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S010,Swordmaster's Gauntlets,검술가의 건틀릿,UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S011,Court of Blades (Wrathborn): Expert,칼날의 궁정(분노 태생): 숙련자,UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S012,(Heroic) Dark Alliance,(영웅적) 어둠의 동맹,UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S013,Traveler's Judgment 5,여행자의 심판 5,UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S014,Blackletter Greaves,블랙레터 그리브스,UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S015,Event Ticket,이벤트 티켓,UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S016,Venom Unrivaled Strides,맹독의 비할 데 없는 보폭,UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S017,Markov Chain,마르코프 체인,UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S018,Imponent III,임포넌트 III,UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S019,Splicer Vandal's Armory,스플라이서 반달의 무기고,UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S020,Phantasmic Fighter,환영 전사,UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S021,The Ritual: Master,의식: 마스터,UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S022,Vex Shock,벡스 쇼크,UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S023,Weapons Intel,무기 정보,UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S024,Cottontail Shell,코튼테일 껍질,UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S025,Adds a nest of spiders to your transmat effects.,전송 효과에 거미 둥지를 추가합니다.,perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S026,Kill each set of Glyphkeepers in Exhibition within 5 seconds of each other.,전시관에서 각 Glyphkeepers 무리를 서로 5초 이내에 처치하십시오.,perk,- No explicit relation context found. Use neutral default tone for this sentence type.
