sample_id,source_text,translation
S001,Unstoppable Force,막을 수 없는 힘
S002,Nemean Gauntlets,네메안 건틀릿
S003,Icarus Drifter Legs,이카루스 방랑자 다리
S004,Light and Dark Saga Exotics,빛과 어둠 사가 이국품
S005,Dreaming Spectrum,꿈꾸는 스펙트럼
S006,Ana: Black Box,아나: 블랙박스
S007,Transmatter Components,트랜스매터 구성요소
S008,The Empty Tank: Legend,빈 탱크: 전설
S009,Bounty Hunter: Tangled Shore,현상금 사냥꾼: 얽힌 해안
S010,Swordmaster's Gauntlets,검술가의 건틀릿
S011,Court of Blades (Wrathborn): Expert,칼날의 궁정(분노태생): 전문가
S012,(Heroic) Dark Alliance,(영웅) 어둠의 동맹
S013,Traveler's Judgment 5,여행자의 심판 5
S014,Blackletter Greaves,블랙레터 경갑바지
S015,Event Ticket,이벤트 티켓
S016,Venom Unrivaled Strides,독보적 맹독의 발걸음
S017,Markov Chain,마르코프 체인
S018,Imponent III,위압 III
S019,Splicer Vandal's Armory,스플라이서 반달의 무기고
S020,Phantasmic Fighter,환영의 전사
S021,The Ritual: Master,의식: 숙련자
S022,Vex Shock,벡스 쇼크
S023,Weapons Intel,무기 정보
S024,Cottontail Shell,솜꼬리 껍질
S025,Adds a nest of spiders to your transmat effects.,전송 효과에 거미 둥지를 추가합니다.
S026,Kill each set of Glyphkeepers in Exhibition within 5 seconds of each other.,전시관의 각 글리프 수호자를 서로 5초 이내에 처치하세요.
S027,Your equipped Scout Rifles and Pulse Rifles fire shield-piercing rounds and stun [Shield-Piercing] Barrier Champions.,장착한 스카우트 소총과 펄스 소총이 방어막 관통 탄환을 발사하고 [방어막 관통] 장벽 챔피언을 기절시킵니다.
S028,"By aligning with the Festival Flame, you do more damage with Void power.",축제의 불꽃과 조율하면 공허 힘 피해 증가
S029,Defeat combatants with precision final blows in Nightmare Hunts.,Nightmare Hunts에서 정밀한 마지막 일격으로 전투원을 처치하세요.
S030,Adds a phosphene appearance to your transmat effects.,트랜스매트 효과에 인광체 외형을 추가합니다.
S031,Final blows with this weapon fill the magazine of the equipped Energy weapon from reserves.,이 무기로 최후 일격 시 장착한 에너지 무기의 탄창이 예비 탄약에서 채워집니다.
S032,Greatly increases charge rate and guard resistance.,차지 속도와 가드 저항 대폭 증가
S033,Faster ready and stow speed for Trace Rifles.,추적 소총 준비 및 보관 속도 증가
S034,Dimensional Tithes,차원 십일조
S035,Body shots landed with this weapon increase precision damage and aim assist for a short time. Body shots landed while the perk is active refresh the time.,이 무기로 적중한 몸통 사격은 짧은 시간 동안 정밀 피해와 조준 보정을 증가시킵니다. 특성이 활성화된 동안 적중한 몸통 사격은 지속 시간을 갱신합니다.
S036,Earn bonus Enhancement Prisms when completing ritual activities.,의식 활동 완료 시 추가 강화 프리즘 획득
S037,Final blows with this weapon grant Super energy. This weapon gains bonus damage once your Super expires.,이 무기로 최후의 일격을 가하면 슈퍼 에너지를 얻습니다. 이 무기는 슈퍼가 종료되면 추가 피해를 얻습니다.
S038,Rapidly defeat combatants or Guardians with Auto Rifle final blows.,오토 라이플 최종 일격으로 전투원 또는 가디언을 빠르게 처치하세요.
S039,Summon your Throwing Hammer back to you.,던진 망치를 다시 불러오세요.
S040,Overflows the magazine based on the number of rapid final blows before reloading. Improves reload.,재장전 전 빠른 최종 일격 수에 따라 탄창을 초과 충전합니다. 재장전 향상.
S041,+5 Class ▲,+5 클래스 ▲
S042,Prosperity (Vanguard),번영(선봉대)
S043,Increased damage against Taken enemies.,Taken 적에게 주는 피해 증가
S044,Move faster while guarding with the Unbreakable shield. Damage blocked with Unbreakable is converted to grenade energy.,Unbreakable 방패로 방어 중 이동 속도 증가. Unbreakable로 막은 피해는 수류탄 에너지로 전환됩니다.
S045,Healing grenades spawn a Restorative Turret. Healing allies occasionally spawns an Orb of Power.,치유 수류탄이 회복 포탑을 생성합니다. 아군을 치유하면 가끔 힘의 보주가 생성됩니다.
S046,Improved Drengr's Lash. Gain Woven Mail when suspending targets.,개선된 Drengr's Lash. 대상을 공중에 띄우면 Woven Mail 획득.
S047,"Equip this tier 5 weapon ornament to change the appearance of Burden of Guilt. Once you get an ornament, it's unlocked for all characters on your account.",이 5티어 무기 장식을 장착해 Burden of Guilt의 외형을 변경하세요. 장식을 획득하면 계정 내 모든 캐릭터에 해제됩니다.
S048,Heal yourself when using your class ability.  This modifier is only available during Solstice.,직업 능력 사용 시 자신을 치유합니다.  이 수정자는 솔스티스 기간에만 사용할 수 있습니다.
S049,Do you deserve it?,그럴 자격이 있나?
S050,"""He is the closest thing I will ever have to a son.""",그는 내가 아들로 삼을 수 있는 가장 가까운 존재다.
S051,"""Under a sturdy enough helmet, no one can see how damaged you are."" —Reed-7, Exo Titan","""튼튼한 헬멧만 있으면, 네가 얼마나 망가졌는지 아무도 못 봐."" —리드-7, 엑소 타이탄"
S052,"""I have foreseen the work that will bring this system together. I'll need your strength."" —Emperor Calus","""이 체계를 하나로 묶을 일을 나는 이미 내다보았다. 네 힘이 필요하다."" —칼루스 황제"
S053,"Do you believe in the Gaiaforms, the energies within planets?","가이아폼, 행성 안의 에너지를 믿나요?"
S054,"""Many regard the Hive as mere monsters. But they are so much more. Their minds are sharp, like their blades."" —Eris Morn","""많은 이들이 하이브를 그저 괴물로 여긴다. 하지만 그들은 그보다 훨씬 더하다. 그들의 정신은 그들의 칼날처럼 날카롭다."" —에리스 모른"
S055,"At the edge of the universe, I stared into the infinite deep. It stared back, and was pleased. I would become the herald of its victory, and bear witness for all creation.","우주의 끝에서, 나는 끝없는 심연을 응시했다. 심연도 나를 응시했고, 기뻐했다. 나는 그 승리의 전령이 되어, 모든 창조물의 증인이 되리라."
S056,"A little bolder. A little more focus. You are almost ready… to cast a Shadow. —Calus, Emperor of the Cabal","조금 더 대담하게. 조금 더 집중해라. 너는 거의 준비되었다… 그림자를 펼칠. —칼루스, 카발의 황제"
S057,"""We are what we survive. They will not be the Guardians."" —Lord Saladin",우리는 살아남은 존재다. 그들은 수호자가 되지 못할 것이다. —살라딘 경
S058,"""There is a place where we can remember who we are."" —Imogen Rife","""우리가 누구인지 기억할 수 있는 곳이 있어."" —이모젠 라이프"
S059,"""There is an end to everything."" —Emissary of the Nine","""모든 것에는 끝이 있다."" —아홉의 사절"
S060,"""Yours, until the last flame dies and all words have been spoken."" —Shin Malphur to you, as you journey forth into the unknown","마지막 불꽃이 꺼지고 모든 말이 전해질 때까지, 그대의 것이라네. —신 말퍼가, 그대가 미지로 나아갈 때"
S061,"""I know you."" —Lord Felwinter","""알고 있소."" —펠윈터 경"
S062,"""Some speculate that the radiolarian fluid is the last vestige of a biological life-form that became the Vex."" —Sister Faora, ""Theories on the Vex""","""라디올라리아 유체는 벡스가 된 생명체의 마지막 흔적이라 추측하는 이들도 있다."" —시스터 파오라, ""벡스에 대한 이론"""
S063,"""Have you ever stared into the green soulfire flame? There is terror, but also… something warm."" —Eris Morn","""초록 영혼불꽃을 바라본 적 있나? 공포가 있지만, 또… 무언가 따뜻한 것도 있다."" —에리스 모른"
