sample_id,original_id,sentence_type,priority_tags,source_text,reference_ko
S001,700,UI,ui_short|proper_noun,Unstoppable Force,막을 수 없는 힘
S002,19789,UI,ui_short|proper_noun,Nemean Gauntlets,네메아 건틀릿
S003,7792,UI,ui_short|proper_noun,Icarus Drifter Legs,이카루스 방랑자 다리 방어구
S004,13399,UI,proper_noun,Light and Dark Saga Exotics,빛과 어둠 서사 경이 장비
S005,10107,UI,ui_short|proper_noun,Dreaming Spectrum,꿈 스펙트럼
S006,29329,UI,ui_short|proper_noun,Ana: Black Box,아나: 블랙박스
S007,3623,UI,ui_short|proper_noun,Transmatter Components,물질 전송 장치 부품
S008,25359,UI,ui_short|proper_noun,The Empty Tank: Legend,빈 탱크: 전설
S009,28773,UI,proper_noun,Bounty Hunter: Tangled Shore,현상금 사냥꾼: 뒤엉킨 해안
S010,1591,UI,consistency_check,Swordmaster's Gauntlets,검술사의 건틀릿
S011,24927,UI,consistency_check,Court of Blades (Wrathborn): Expert,칼날의 궁정 (분노의 자손): 전문가
S012,24918,UI,ui_short|proper_noun,(Heroic) Dark Alliance,(영웅) 어둠의 연합
S013,12758,UI,mechanic_number|ui_short,Traveler's Judgment 5,여행자의 심판 5
S014,19947,UI,ui_short|proper_noun,Blackletter Greaves,흑문자 각반
S015,849,UI,ui_short|proper_noun,Event Ticket,이벤트 티켓
S016,15843,UI,proper_noun,Venom Unrivaled Strides,독보적인 독성 발걸음
S017,4783,UI,ui_short|proper_noun,Markov Chain,마르코프 사슬
S018,32027,UI,ui_short,Imponent III,강요자 3
S019,33449,UI,proper_noun,Splicer Vandal's Armory,융합의 반달 무기고
S020,31987,UI,ui_short|proper_noun,Phantasmic Fighter,환영의 전사
S021,24153,UI,ui_short|proper_noun,The Ritual: Master,의식: 마스터
S022,20760,UI,ui_short|proper_noun,Vex Shock,벡스의 충격
S023,16355,UI,ui_short|proper_noun,Weapons Intel,무기 정보
S024,14861,UI,ui_short|proper_noun,Cottontail Shell,솜꼬리 의체
S025,28071,perk,consistency_check,Adds a nest of spiders to your transmat effects.,전송 효과에 거미 둥지가 추가됩니다.
S026,34311,perk,mechanic_number,Kill each set of Glyphkeepers in Exhibition within 5 seconds of each other.,전시에서 각각 5초 내의 간격으로 문자파수꾼 무리를 처치하세요.
S027,28301,perk,proper_noun|consistency_check,Your equipped Scout Rifles and Pulse Rifles fire shield-piercing rounds and stun [Shield-Piercing] Barrier Champions.,장착한 정찰 소총이 보호막 관통 탄약을 발사하여 [보호막 관통] 보호막 용사를 기절시킵니다.
S028,27316,perk,proper_noun|consistency_check,"By aligning with the Festival Flame, you do more damage with Void power.",축제의 불꽃과 함께 사용하면 공허 파워의 피해가 증가합니다.
S029,14430,perk,proper_noun,Defeat combatants with precision final blows in Nightmare Hunts.,악몽 사냥에서 정밀 결정타로 전투원을 처치하세요.
S030,26239,perk,consistency_check,Adds a phosphene appearance to your transmat effects.,전송 효과에 안내 섬광 모습을 추가합니다.
S031,15846,perk,consistency_check,Final blows with this weapon fill the magazine of the equipped Energy weapon from reserves.,"이 무기로 결정타를 기록하면, 장착한 에너지 무기의 탄창을 예비 탄약을 사용하여 재장전합니다."
S032,27231,perk,consistency_check,Greatly increases charge rate and guard resistance.,충전 속도와 막기 저항이 크게 증가합니다.
S033,26841,perk,proper_noun,Faster ready and stow speed for Trace Rifles.,추적 소총 준비 및 격납 속도가 빨라집니다.
S034,27312,perk,proper_noun,Dimensional Tithes,차원 헌금
S035,3140,perk,consistency_check,Body shots landed with this weapon increase precision damage and aim assist for a short time. Body shots landed while the perk is active refresh the time.,이 무기로 공격을 몸통에 적중시키면 잠시 동안 정밀 피해 및 조준 보정이 증가합니다. 이 특성이 활성화된 동안 몸통에 적중시키면 시간이 회복됩니다.
S036,27731,perk,proper_noun,Earn bonus Enhancement Prisms when completing ritual activities.,의식 활동을 완료하고 보너스 강화 프리즘을 획득하세요.
S037,17460,perk,consistency_check,Final blows with this weapon grant Super energy. This weapon gains bonus damage once your Super expires.,이 무기로 결정타를 기록하면 궁극기 에너지가 부여됩니다. 궁극기가 끝나면 이 무기의 공격력이 증가합니다.
S038,19873,perk,proper_noun,Rapidly defeat combatants or Guardians with Auto Rifle final blows.,자동 소총 결정타로 전투원 또는 수호자를 빠르게 처치하세요.
S039,27159,perk,proper_noun,Summon your Throwing Hammer back to you.,망치 투척을 다시 소환해 옵니다.
S040,10787,perk,consistency_check,Overflows the magazine based on the number of rapid final blows before reloading. Improves reload.,재장전 전에 기록한 빠른 결정타 횟수에 따라 탄창을 채웁니다. 재장전이 향상됩니다.
S041,26672,perk,mechanic_number,+5 Class ▲,+5 직업 ▲
