sample_id,source_text,translation,sentence_type,relation_context_external
S001,Unstoppable Force,막을 수 없는 힘,UI,- No external relation context found. Use default sentence-type style.
S002,Nemean Gauntlets,네메안 건틀릿,UI,- No external relation context found. Use default sentence-type style.
S003,Icarus Drifter Legs,이카루스 드리프터 다리,UI,- Eris Morn romantic_partner_of The Drifter (confidence: high)\n- The Drifter emotional_anchor_of Eris Morn (confidence: high)\n- Aunor Mahal temporary_ally_of The Drifter (confidence: high)\n- Lodi cooperates_with The Drifter (confidence: medium)
S004,Light and Dark Saga Exotics,빛과 어둠 사가 엑조틱스,UI,- No external relation context found. Use default sentence-type style.
S005,Dreaming Spectrum,꿈꾸는 스펙트럼,UI,- No external relation context found. Use default sentence-type style.
S006,Ana: Black Box,아나: 블랙박스,UI,- No external relation context found. Use default sentence-type style.
S007,Transmatter Components,트랜스매터 컴포넌트,UI,- No external relation context found. Use default sentence-type style.
S008,The Empty Tank: Legend,빈 탱크: 전설,UI,- No external relation context found. Use default sentence-type style.
S009,Bounty Hunter: Tangled Shore,현상금 사냥꾼: 얽힌 해안,UI,- No external relation context found. Use default sentence-type style.
S010,Swordmaster's Gauntlets,검술사의 건틀릿,UI,- No external relation context found. Use default sentence-type style.
S011,Court of Blades (Wrathborn): Expert,칼날의 궁정(분노태생): 숙련자,UI,- No external relation context found. Use default sentence-type style.
S012,(Heroic) Dark Alliance,(영웅적) 어둠의 동맹,UI,- No external relation context found. Use default sentence-type style.
S013,Traveler's Judgment 5,여행자의 심판 5,UI,- No external relation context found. Use default sentence-type style.
S014,Blackletter Greaves,블랙레터 그리브스,UI,- No external relation context found. Use default sentence-type style.
S015,Event Ticket,이벤트 티켓,UI,- No external relation context found. Use default sentence-type style.
S016,Venom Unrivaled Strides,독보적인 맹독의 보폭,UI,- No external relation context found. Use default sentence-type style.
S017,Markov Chain,마르코프 체인,UI,- No external relation context found. Use default sentence-type style.
S018,Imponent III,위압 III,UI,- No external relation context found. Use default sentence-type style.
S019,Splicer Vandal's Armory,스플라이서 반달의 무기고,UI,- No external relation context found. Use default sentence-type style.
S020,Phantasmic Fighter,환영의 전투가,UI,- No external relation context found. Use default sentence-type style.
S021,The Ritual: Master,의식: 마스터,UI,- No external relation context found. Use default sentence-type style.
S022,Vex Shock,벡스 쇼크,UI,- No external relation context found. Use default sentence-type style.
S023,Weapons Intel,무기 정보,UI,- No external relation context found. Use default sentence-type style.
S024,Cottontail Shell,코튼테일 셸,UI,- No external relation context found. Use default sentence-type style.
S025,Adds a nest of spiders to your transmat effects.,트랜스매트 효과에 거미 둥지를 추가합니다.,perk,- No external relation context found. Use default sentence-type style.
S026,Kill each set of Glyphkeepers in Exhibition within 5 seconds of each other.,Exhibition에서 각 Glyphkeepers 세트를 서로 5초 이내에 처치해라.,perk,- No external relation context found. Use default sentence-type style.
S027,Your equipped Scout Rifles and Pulse Rifles fire shield-piercing rounds and stun [Shield-Piercing] Barrier Champions.,장착한 Scout Rifle과 Pulse Rifle이 방어막 관통 탄환을 발사하고 [Shield-Piercing] Barrier Champion을 기절시킵니다.,perk,- No external relation context found. Use default sentence-type style.
S028,"By aligning with the Festival Flame, you do more damage with Void power.",축제의 불꽃과 공명하면 Void power로 더 큰 피해를 준다.,perk,- No external relation context found. Use default sentence-type style.
S029,Defeat combatants with precision final blows in Nightmare Hunts.,Nightmare Hunts에서 정밀한 final blows로 combatants를 처치해라.,perk,- No external relation context found. Use default sentence-type style.
S030,Adds a phosphene appearance to your transmat effects.,transmat 효과에 포스펜 외형을 추가한다.,perk,- No external relation context found. Use default sentence-type style.
S031,Final blows with this weapon fill the magazine of the equipped Energy weapon from reserves.,"이 무기로 final blow를 가하면, 보관 중인 장탄에서 장착한 Energy 무기의 탄창을 채운다.",perk,- No external relation context found. Use default sentence-type style.
S032,Greatly increases charge rate and guard resistance.,충전 속도와 가드 저항을 크게 증가시킨다.,perk,- No external relation context found. Use default sentence-type style.
S033,Faster ready and stow speed for Trace Rifles.,Trace Rifle의 준비 및 보관 속도 증가.,perk,- No external relation context found. Use default sentence-type style.
S034,Dimensional Tithes,차원 십일조,perk,- No external relation context found. Use default sentence-type style.
S035,Body shots landed with this weapon increase precision damage and aim assist for a short time. Body shots landed while the perk is active refresh the time.,이 무기로 몸샷을 적중하면 짧은 시간 동안 정밀 피해와 조준 보정이 증가한다. perk가 활성화된 동안 몸샷을 적중하면 지속 시간이 갱신된다.,perk,- No external relation context found. Use default sentence-type style.
S036,Earn bonus Enhancement Prisms when completing ritual activities.,의식 활동을 완료하면 보너스 Enhancement Prisms를 획득한다.,perk,- No external relation context found. Use default sentence-type style.
S037,Final blows with this weapon grant Super energy. This weapon gains bonus damage once your Super expires.,이 무기로 final blow를 가하면 Super energy를 획득한다. 이 무기는 Super가 종료되면 추가 damage를 얻는다.,perk,- No external relation context found. Use default sentence-type style.
S038,Rapidly defeat combatants or Guardians with Auto Rifle final blows.,Auto Rifle final blows로 combatants나 Guardians를 빠르게 처치해.,perk,- No external relation context found. Use default sentence-type style.
S039,Summon your Throwing Hammer back to you.,던지는 망치를 다시 불러와.,perk,- No external relation context found. Use default sentence-type style.
S040,Overflows the magazine based on the number of rapid final blows before reloading. Improves reload.,재장전 전 빠른 final blow 횟수에 따라 탄창을 초과 충전한다. 재장전 성능이 향상된다.,perk,- No external relation context found. Use default sentence-type style.
S041,+5 Class ▲,+5 클래스 ▲,perk,- No external relation context found. Use default sentence-type style.
S042,Prosperity (Vanguard),번영 (Vanguard),perk,- Caiatl allied_with Vanguard (confidence: high)\n- Savathun enemy_of Vanguard (confidence: high)\n- Dredgen Bael enemy_of Vanguard (confidence: high)\n- Mara Sov politically_cooperates_with Vanguard (confidence: medium)
S043,Increased damage against Taken enemies.,Taken 적에게 주는 피해 증가.,perk,- No external relation context found. Use default sentence-type style.
S044,Move faster while guarding with the Unbreakable shield. Damage blocked with Unbreakable is converted to grenade energy.,Unbreakable 방패로 방어하는 동안 더 빠르게 이동한다. Unbreakable로 막은 피해는 수류탄 에너지로 전환된다.,perk,- No external relation context found. Use default sentence-type style.
S045,Healing grenades spawn a Restorative Turret. Healing allies occasionally spawns an Orb of Power.,치유 수류탄이 Restorative Turret를 생성한다. 아군을 치유하면 가끔 Orb of Power가 생성된다.,perk,- No external relation context found. Use default sentence-type style.
S046,Improved Drengr's Lash. Gain Woven Mail when suspending targets.,드렝그의 채찍 강화. 대상을 공중에 띄우면 Woven Mail 획득.,perk,- No external relation context found. Use default sentence-type style.
S047,"Equip this tier 5 weapon ornament to change the appearance of Burden of Guilt. Once you get an ornament, it's unlocked for all characters on your account.",이 티어 5 무기 ornament를 장착하면 Burden of Guilt의 외형이 바뀝니다. 한 번 ornament를 획득하면 계정 내 모든 캐릭터에서 해금됩니다.,perk,- No external relation context found. Use default sentence-type style.
S048,Heal yourself when using your class ability.  This modifier is only available during Solstice.,클래스 능력을 사용할 때 자신을 치유합니다.  이 modifier는 Solstice 동안에만 사용할 수 있습니다.,perk,- No external relation context found. Use default sentence-type style.
S049,Do you deserve it?,그걸 받을 자격이 있어?,dialogue,- No external relation context found. Use default sentence-type style.
S050,"""He is the closest thing I will ever have to a son.""","그는 내가 평생 아들처럼 여길 수 있는, 가장 가까운 존재야.",dialogue,- No external relation context found. Use default sentence-type style.
S051,"""Under a sturdy enough helmet, no one can see how damaged you are."" —Reed-7, Exo Titan","""튼튼한 헬멧만 있으면, 네가 얼마나 망가졌는지 아무도 볼 수 없어."" —Reed-7, Exo Titan",dialogue,- No external relation context found. Use default sentence-type style.
S052,"""I have foreseen the work that will bring this system together. I'll need your strength."" —Emperor Calus","""이 시스템을 하나로 묶을 일을 나는 이미 보았다. 네 힘이 필요하다."" —황제 칼루스",dialogue,- No external relation context found. Use default sentence-type style.
S053,"Do you believe in the Gaiaforms, the energies within planets?","너는 행성 안에 깃든 에너지, Gaiaforms를 믿어?",dialogue,- No external relation context found. Use default sentence-type style.
S054,"""Many regard the Hive as mere monsters. But they are so much more. Their minds are sharp, like their blades."" —Eris Morn",많은 이들이 Hive를 그저 괴물로만 여겨. 하지만 그들은 그보다 훨씬 더해. 그들의 정신은 그들의 칼날처럼 날카로워. —Eris Morn,dialogue,- Eris Morn romantic_partner_of The Drifter (confidence: high)\n- The Drifter emotional_anchor_of Eris Morn (confidence: high)\n- Lodi cooperates_with Eris Morn (confidence: medium)
S055,"At the edge of the universe, I stared into the infinite deep. It stared back, and was pleased. I would become the herald of its victory, and bear witness for all creation.","우주의 끝에서, 나는 무한한 심연을 응시했다. 심연도 나를 응시했고, 만족해했다. 나는 그 승리의 전령이 되어, 모든 창조물의 증인이 될 것이다.",dialogue,- No external relation context found. Use default sentence-type style.
S056,"A little bolder. A little more focus. You are almost ready… to cast a Shadow. —Calus, Emperor of the Cabal","조금 더 대담하게. 조금 더 집중해. 넌 거의 준비됐어… 그림자를 드리울 준비가. —칼루스, 카발의 황제",dialogue,- No external relation context found. Use default sentence-type style.
S057,"""We are what we survive. They will not be the Guardians."" —Lord Saladin","""우리는 살아남은 것으로 정의된다. 그들은 Guardians가 되지 못할 것이다."" —로드 살라딘",dialogue,- No external relation context found. Use default sentence-type style.
S058,"""There is a place where we can remember who we are."" —Imogen Rife","""우리가 누구인지 기억할 수 있는 곳이 있어."" —이모젠 라이프",dialogue,- No external relation context found. Use default sentence-type style.
S059,"""There is an end to everything."" —Emissary of the Nine","""모든 것에는 끝이 있다."" —나인의 사절",dialogue,- No external relation context found. Use default sentence-type style.
S060,"""Yours, until the last flame dies and all words have been spoken."" —Shin Malphur to you, as you journey forth into the unknown","""마지막 불꽃이 꺼지고 모든 말이 다해질 때까지, 이건 네 거다."" —신 말퍼가, 네가 미지로 나아갈 때 너에게",dialogue,- No external relation context found. Use default sentence-type style.
S061,"""I know you."" —Lord Felwinter","""너를 알고 있다."" —펠윈터 경",dialogue,- No external relation context found. Use default sentence-type style.
S062,"""Some speculate that the radiolarian fluid is the last vestige of a biological life-form that became the Vex."" —Sister Faora, ""Theories on the Vex""","""일부는 radiolarian fluid가 Vex가 된 생명체의 마지막 흔적이라고 추측한다."" —시스터 파오라, ""Vex에 대한 이론""",dialogue,- No external relation context found. Use default sentence-type style.
